Activity,Country,Implementing_agency,Sector,Funding_ac,Transaction_type,Fiscal_year,Current_amount
Toward Inclusive Markets Everywhere (TIME),West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2016,1564
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2003,1564
Family Planning and Reproductive Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2016,1561
Family Planning and Reproductive Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Agency for International Development, Child Survival and Health Programs Fund",Obligations,2015,1561
Administration and Oversight,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,1560
Southern Africa Regional Environmental Program (SAREP),Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2012,1550
Southern Africa Regional Environmental Program (SAREP),Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2010,1550
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2005,1549
Mobile Solutions Technical Assistance and Research (mSTAR) project,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2015,1548
Program Support,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2011,1545
Maternal and Child Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2009,1540
Agric Productivity & Food Security Enhanced,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,1538
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2016,1538
Elections and Political Processes,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Disbursements,2012,1537
Mobile Solutions Technical Assistance and Research (mSTAR) project,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2016,1537
Leadership Public Financial Mngmt II (LPFM II),West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,Economic Support Fund,Disbursements,2016,1531
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2013,1531
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2013,1531
Basic Education,West Africa Region,U.S. Agency for International Development,Basic Education,"Agency for International Development, Development Assistance",Disbursements,2010,1530
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2007,1527
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2017,1515
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Obligations,2017,1515
Development Assistance - Development Assistance,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2005,1514
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2011,1514
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2011,1500
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2011,1500
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2010,1500
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2009,1500
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2010,1500
Program Support (Governance),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2010,1500
Program Support (Civil Society),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2013,1500
Program Support (Civil Society),Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2013,1500
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2004,1500
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2003,1500
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2004,1500
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2003,1500
NETCAB,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2002,1500
"Export Control and Related Border Security Assistance, Interpretation Services",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2013,1500
"Export Control and Related Border Security Assistance, Interpretation Services",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2012,1500
"Export Control and Related Border Security Assistance, Interpretation Services",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2013,1500
"Export Control and Related Border Security Assistance, Interpretation Services",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2012,1500
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2011,1500
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Disbursements,2015,1500
Causes and Consequences of Conflict Addressed,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2007,1500
Causes and Consequences of Conflict Addressed,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2007,1500
Improved Management Selected River Basins,Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2005,1500
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2009,1499
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2009,1499
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2015,1499
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Department of State, Global Health Programs",Disbursements,2016,1498
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2009,1495
"Protection, Assistance and Solutions",Southern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, International Disaster Assistance",Obligations,2017,1495
Basic Education,West Africa Region,U.S. Agency for International Development,Basic Education,"Agency for International Development, Development Assistance",Disbursements,2013,1485
Water Supply and Sanitation,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2013,1484
OE TRUSFUNDS COR,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,1480
Democracy Conflict Humanitarian Assistance Bureau Office of Transition Initiatives,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, International Assistance Program, Transition Initiatives",Obligations,2017,1480
Agric Productivity & Food Security Enhanced,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2009,1471
Agric Productivity & Food Security Enhanced,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2009,1471
Crisis Assistance and Recovery,Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Commodity Credit Corporation Fund,Disbursements,2011,1470
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Obligations,2017,1464
"Export Control and Related Border Security Assistance, Other",Europe Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2014,1464
"Export Control and Related Border Security Assistance, Other",Europe Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2014,1464
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2008,1459
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2017,1454
Regional Market Intergration,Southern Africa Region,U.S. Agency for International Development,Business and Other Services,"Agency for International Development, Development Assistance",Disbursements,2001,1453
Program Support (Infrastructure),West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Obligations,2009,1452
Program Support (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2012,1451
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2013,1450
Administrative costs,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2003,1447
Program Support (Protection),Eastern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2007,1443
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2014,1442
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2011,1440
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2016,1440
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2015,1424
Basic Education,West Africa Region,U.S. Agency for International Development,Basic Education,"Millennium Challenge Corporation, Expenses",Disbursements,2012,1420
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2007,1419
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2014,1412
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2005,1411
Regional Economic Integration,West Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2005,1411
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2017,1410
"Protection, Assistance and Solutions",Eastern Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, International Disaster Assistance",Disbursements,2017,1410
Water Supply and Sanitation,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Obligations,2010,1408
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2014,1404
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2014,1404
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2014,1404
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2014,1404
Family Planning and Reproductive Health,Eastern Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2014,1402
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2012,1402
Agric Productivity & Food Security Enhanced,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2014,1402
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2016,1400
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Disbursements,2014,1397
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Assistance Program, Transition Initiatives",Disbursements,2017,1394
Inc. adoption of sustainable Family Planning/Reproductive,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2004,1394
Administration and Oversight (Counter-Terrorism),West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2013,1392
HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2010,1391
HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2009,1391
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2009,1380
Disaster Readiness,West Africa Region,U.S. Agency for International Development,Disaster Prevention and Preparedness,"Agency for International Development, International Disaster Assistance",Disbursements,2017,1379
Elections and Political Processes,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2013,1375
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2014,1369
Regional Policy Dialogue-Rapid,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2001,1368
Additional funds for Western Hemisphere Interim Steering Committee Meeting (additional funds for 2004 project),Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Multinational Species Conservation Fund",Disbursements,2005,1367
Additional funds for Western Hemisphere Interim Steering Committee Meeting (additional funds for 2004 project),Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Multinational Species Conservation Fund",Obligations,2005,1367
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, International Disaster Assistance",Disbursements,2013,1364
"Export Control and Related Border Security Assistance, Other",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2014,1361
"Export Control and Related Border Security Assistance, Other",Europe Region,Department of State,Trade Policy and Regulations,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2014,1361
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2016,1359
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2002,1359
98 SO1: INCREASED REGIONAL CAPACITY TO INFLUENCE DEMOCRATIC,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2002,1359
RESTORATION OF PRIORITY HABITATS FOR NMB IN THE MADREAN SKY ISLANDS NW MEXICO II,Western Hemisphere Region,Department of the Interior,General Environmental Protection,"U.S. Fish and Wildlife Service, Neotropical Migratory Bird Conservation",Disbursements,2017,1355
Anti-Terrorism Assistance Training,Western Hemisphere Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2014,1354
Higher Education,West Africa Region,U.S. Agency for International Development,Post-Secondary Education,"Agency for International Development, Development Assistance",Disbursements,2014,1351
OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2007,1345
OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2006,1345
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Disbursements,2008,1341
Regional Conflict Mitigation,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Disbursements,2013,1336
Development Assistance - Development Assistance,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2007,1334
HIV/AIDS - Assistance for HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2015,1334
Program Support (Financial Sector),West Africa Region,U.S. Agency for International Development,Banking and Financial Services,"Agency for International Development, Development Assistance",Disbursements,2014,1333
Maternal and Child Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2009,1327
Agric Productivity & Food Security Enhanced,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Obligations,2009,1326
Food Security and Environment,West Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,"Agency for International Development, Development Assistance",Disbursements,2006,1324
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2012,1323
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Development Assistance",Disbursements,2012,1321
Operating Expenses - USAID,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,1321
Water Supply and Sanitation,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2010,1320
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2010,1318
HIV/AIDS,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2010,1318
"Economic Community of West African States West, Africa Power Pool (ECOWAS/WAPP)",West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Disbursements,2015,1317
"Economic Community of West African States West, Africa Power Pool (ECOWAS/WAPP)",West Africa Region,U.S. Agency for International Development,Transport and Storage,"Agency for International Development, Development Assistance",Obligations,2014,1317
Regional Economic Growth & Integration,Eastern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, International Disaster Assistance",Disbursements,2016,1313
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Disbursements,2013,1309
Legislative Function and Processes,West Africa Region,U.S. Agency for International Development,Government and Civil Society,Economic Support Fund,Disbursements,2013,1307
Administrative costs,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2004,1306
Program Design and Learning,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Disbursements,2017,1305
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2010,1304
99 SO3: INCREASED REGL COOPERATION IN THE MANAGEMENT OF SHAR,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2004,1304
Program Support (Agriculture),Eastern Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2012,1304
Natural Resources and Biodiversity,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2009,1300
Operating Expenses - USAID,Europe Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,1299
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2016,1295
Higher Education,West Africa Region,U.S. Agency for International Development,Post-Secondary Education,"Agency for International Development, Development Assistance",Disbursements,2016,1295
Family Planning and Reproductive Health,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2015,1292
HIV/AIDS,Southern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2012,1292
Development Assistance - Development Assistance,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2012,1288
Administration and Oversight (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2010,1279
Water Supply and Sanitation,West Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2011,1275
Administration and Oversight (Protection),Eastern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Obligations,2008,1273
Development Assistance - Development Assistance,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2006,1271
Crisis Assistance and Recovery,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2016,1268
"Protection, Assistance and Solutions",Eastern Africa Region,U.S. Agency for International Development,Developmental Food Aid/Food Security Assistance,Public Law 480 Title II Grants,Disbursements,2017,1267
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Other Multisector,"Department of State, Global Health Programs",Disbursements,2017,1266
Greater Trade Competitveness,West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2015,1265
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2011,1264
Program Design and Learning,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2017,1257
"Regional Health, HIV & AIDS",Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Agency for International Development, Child Survival and Health Programs Fund",Disbursements,2014,1256
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Disbursements,2012,1255
"Export Control and Related Border Security Assistance, Tri-Border Initiative Customs Directors Meeting - BiH Costs",Europe Region,Department of State,"Conflict, Peace, and Security","Nonproliferation, Anti-Terrorism, Demining and Related Programs",Disbursements,2012,1252
"Export Control and Related Border Security Assistance, Tri-Border Initiative Customs Directors Meeting - BiH Costs",Europe Region,Department of State,"Conflict, Peace, and Security","Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2012,1252
Administration and Oversight,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2014,1250
Regional Conflict Prevention,West Africa Region,U.S. Agency for International Development,"Conflict, Peace, and Security","Agency for International Development, Development Assistance",Obligations,2004,1248
Countering Violent Extremism,South and Central Asia Region,Department of State,Government and Civil Society,"Nonproliferation, Anti-Terrorism, Demining and Related Programs",Obligations,2013,1245
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2017,1243
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2011,1242
Administration and Oversight,West Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2016,1242
Administration and Oversight (Environment),West Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2013,1241
Toward Inclusive Markets Everywhere (TIME),West Africa Region,U.S. Agency for International Development,Trade Policy and Regulations,"Agency for International Development, Development Assistance",Disbursements,2015,1238
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Disbursements,2013,1236
Program Design and Learning,West Africa Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Obligations,2013,1236
Program Design and Learning,West Africa Region,U.S. Agency for International Development,"Maternal and Child Health, Family Planning","Department of State, Global Health Programs",Obligations,2013,1236
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2010,1236
Development Assistance - Development Assistance,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2006,1235
Development Assistance - Development Assistance,West Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2007,1234
Administration and Oversight (Agriculture),West Africa Region,U.S. Agency for International Development,Agriculture,"Agency for International Development, Development Assistance",Disbursements,2013,1232
99 SO3: INCREASED REGL COOPERATION IN THE MANAGEMENT OF SHAR,Southern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2005,1231
Operating Expenses - USAID,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2001,1229
Improved Management Selected River Basins,Southern Africa Region,U.S. Agency for International Development,Water Supply and Sanitation,"Agency for International Development, Development Assistance",Disbursements,2010,1227
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Disbursements,2016,1219
Administration and Oversight,Middle East Region,U.S. Agency for International Development,Other Multisector,Economic Support Fund,Obligations,2014,1219
Development Assistance - Development Assistance,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Obligations,2004,1213
Improved Electoral Comp. in SA,Southern Africa Region,U.S. Agency for International Development,Government and Civil Society,"Agency for International Development, Development Assistance",Obligations,2004,1210
Development Assistance - Development Assistance,Eastern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2007,1209
HIV/AIDS - Assistance for HIV/AIDS,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Obligations,2017,1203
Administration and Oversight,Southern Africa Region,U.S. Agency for International Development,Other Multisector,"Agency for International Development, Development Assistance",Disbursements,2017,1203
Administrative costs,West Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2007,1196
Administration and Oversight,West Africa Region,U.S. Agency for International Development,Agriculture,"Department of State, Global Health Programs",Obligations,2016,1191
Crisis Assistance and Recovery,Southern Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2017,1187
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2009,1185
Program Design and Learning (Environment),Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Disbursements,2014,1185
Program Design and Learning (Environment),Eastern Africa Region,U.S. Agency for International Development,General Environmental Protection,"Agency for International Development, Development Assistance",Obligations,2014,1185
Program Design and Learning,Eastern Africa Region,U.S. Agency for International Development,HIV/AIDS,"Department of State, Global Health Programs",Disbursements,2014,1183
OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,West Africa Region,U.S. Agency for International Development,Emergency Response,"Agency for International Development, International Disaster Assistance",Disbursements,2006,1175
Operating Expenses - USAID,Southern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Obligations,2001,1173
Administrative costs,Eastern Africa Region,U.S. Agency for International Development,Operating Expenses,"Agency for International Development, Operating Expenses",Disbursements,2010,1162
